Entity;data;Notes;
Firmware path;/firmware;NA;
SHA512;750b2fc79d16ce35bb44526e83e416b98cf3bdfb497f65eba533913ed8be8d19be7b0576f5066cc31074eb067d81278718cf1f530366b528d32c8202271bd6bc;NA;
SHA1;6022c547570681f9a9b5d83435ca3d5c74618a37;NA;
MD5;2f80cb8fe6858c8fd649767c6b26ddb0;NA;
Entropy;7.999997 bits per byte.;NA;
basic compressed;yes;NA;
